Department, Counts
臺北市政府財政局支付科, 6
臺北市文山區公所, 6
臺北市立浩然敬老院, 6
臺北市交通事件裁決所積案催收課, 5
臺北市公共運輸處大眾運輸科, 5
臺北市政府交通局交通安全科, 5
臺北市政府工務局採購管理科, 5
臺北市政府工務局新建工程處挖掘管理科, 5
臺北市政府工務局衛生下水道工程處工務科, 5
臺北市政府工務局衛生下水道工程處維護工程科, 5
臺北市政府教育局政風室, 5
臺北市政府環境保護局氣候變遷管理科, 5
臺北市政府都市發展局都市測量科, 5
臺北市立國樂團, 5
臺北市交通事件裁決所秘書室, 4
臺北市公共運輸處綜合規劃科, 4
臺北市建築管理工程處, 4
臺北市政府勞動局, 4
臺北市政府工務局公園路燈工程管理處工程配合科, 4
臺北市政府工務局公園路燈工程管理處總工程司室, 4
臺北市政府工務局水利工程處工務科, 4
臺北市政府政風處, 4
臺北市政府財政局非公用財產開發科, 4
臺北市政府都市發展局住宅服務科, 4
臺北市政府交通局運輸資訊科, 3
臺北市政府人事處管理科, 3
臺北市政府工務局新建工程處工務科, 3
臺北市政府工務局新建工程處維護工程科, 3
臺北市政府工務局新建工程處養護工程隊, 3
臺北市政府工務局水利工程處抽水站管理一科, 3
臺北市政府捷運工程局北區工程處, 3
臺北市政府教育局督學室, 3
臺北市政府環境保護局人事室, 3
臺北市政府環境保護局環境檢驗中心, 3
臺北市政府衛生局綜合企劃科, 3
臺北市政府工務局品管及勞安科, 2
臺北市政府工務局土木建築科, 2
臺北市政府工務局新建工程處建築科, 2
臺北市政府工務局水利工程處河川工程科, 2
臺北市政府工務局水利工程處綜合計畫科, 2
臺北市政府工務局衛生下水道工程處內湖污水處理廠, 2
臺北市政府社會局綜合企劃科, 2
臺北市政府聯合採購發包中心, 2
臺北市政府衛生局檢驗科, 2
臺北市政府警察局中正第一分局, 2
臺北市政府警察局中正第二分局, 2
臺北市政府警察局大安分局, 2
臺北市政府財政局金融管理科, 2
臺北市政府資訊局綜合企劃組, 2
臺北市政府都市發展局住宅企劃科, 2
臺北市都市更新處更新經營科, 2
臺北市中山區公所, 1
臺北市交通事件裁決所資訊室, 1
臺北市公共運輸處業務稽查科, 1
臺北市動物保護處, 1
臺北市家庭教育中心, 1
臺北市政府工務局公園路燈工程管理處工務科, 1
臺北市政府工務局公園路燈工程管理處花卉試驗中心, 1
臺北市政府工務局衛生下水道工程處設計科, 1
臺北市政府警察局犯罪預防科, 1
臺北市立交響樂團, 1
貓空纜車, 1
